id,task_category,comments_category,comment_problem,comment_verb,comment_obj,aesthetics_rating,usability_rating,design_quality_rating,learnability,efficency
1217,User account management,Usability of Buttons,ranking text,make,ranking text,6,5,6,2.0,3
1228,User account management,Color Contrast,ranking text,enlarge,ranking text,4,4,4,2.0,2
1241,User account management,Text Readability,ranking text,increase,ranking text,6,6,6,3.0,3
1262,Exploration and Navigation,Layout,positioning use design software to ensure alignment,identify,miss checkbox icon,3,4,3,2.0,2
1265,Exploration and Navigation,Layout,positioning use design software to ensure alignment,uniform font style to be use consistently,placeholder image or alternative visual content,6,6,6,3.0,3
1269,Media and content interaction,Layout,uniform font style to be use consistently,change,separate background,6,6,6,3.0,3
1272,Exploration and Navigation,Usability of Buttons,information,make,information,6,6,6,3.0,3
1273,Exploration and Navigation,Usability of Buttons,current button size,increase,current button size,6,5,6,2.0,3
1281,Media and content interaction,Layout,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,5,6,6,3.0,3
1282,Media and content interaction,Layout,systematic arrangement,seem,breakfast icon,5,5,5,3.0,3
1297,Exploration and Navigation,Layout,item load but lack proper visual-blank image,change,entire way,2,4,4,2.0,3
1301,User account management,Learnability,ranking text,increase,current button size,6,6,6,3.0,3
1302,User account management,Usability of Buttons,placeholder image or alternative visual content,align,placeholder image or alternative visual content,5,5,5,3.0,2
1305,User account management,Layout,positioning use design software to ensure alignment,change,positioning use design software to ensure alignment,7,7,7,4.0,3
1307,Accessing and managing information,Layout,positioning use design software to ensure alignment,reintegrate,breakfast icon,3,4,3,2.0,2
1313,Exploration and Navigation,Layout,more readable font,increase,current button size,6,6,6,3.0,3
1343,Exploration and Navigation,Layout,positioning use design software to ensure alignment,revise,positioning use design software to ensure alignment,6,6,6,3.0,3
1347,User account management,Layout,ranking text,uniform font style to be use consistently,current button size,4,4,4,2.0,2
1354,Accessing and managing information,Layout,Free Bible button,make,text and title,6,6,6,3.0,3
1357,Location and Travel,Usability of Buttons,ranking text,increase,current button size,6,5,6,2.0,3
1361,Exploration and Navigation,Layout,ranking text,increase,ranking text,6,6,6,3.0,3
1363,Accessing and managing information,Layout,positioning use design software to ensure alignment,reintegrate,breakfast icon,3,4,3,2.0,2
1366,User account management,Usability of Buttons,placeholder image or alternative visual content,improve,placeholder image or alternative visual content,3,4,3,2.0,2
1378,Exploration and Navigation,Layout,ui,add,"more common language , such",5,5,5,2.0,2
1386,Exploration and Navigation,Layout,button or icon allow user to see current location,make,designer,6,6,6,3.0,3
1392,Media and content interaction,Layout,text color contrast,uniform font style to be use consistently,text color contrast,7,7,7,4.0,3
1393,Media and content interaction,Layout,share button darker,emphasize,share button darker,3,4,3,2.0,2
1408,Media and content interaction,Layout,confusing layout and unclear navigation,declutter,confusing layout and unclear navigation,5,4,5,2.0,2
1411,User account management,Layout,ranking text,increase,ranking text,3,4,3,2.0,2
1412,User account management,Layout,button or icon allow user to see current location,make,button or icon allow user to see current location,6,5,6,2.0,3
1414,Customization of app settings and preferences,Layout,disabled option,keep,disabled option,6,6,6,3.0,3
1417,Media and content interaction,Layout,positioning use design software to ensure alignment,revise,positioning use design software to ensure alignment,6,6,6,3.0,3
1444,Exploration and Navigation,Layout,related content item,increase,separate background,3,4,3,2.0,2
1450,User account management,Usability of Buttons,ranking text,make,ranking text,6,5,6,2.0,3
1470,Exploration and Navigation,Layout,ranking text,make,ranking text,4,4,4,2.0,2
1477,User account management,Layout,ranking text,increase,more readable font,5,5,5,2.0,3
1482,Exploration and Navigation,Layout,purpose and function,move,purpose and function,4,4,4,2.0,2
1500,Accessing and managing information,Layout,placeholder image or alternative visual content,uniform font style to be use consistently,placeholder image or alternative visual content,5,5,5,3.0,2
1515,Location and Travel,Layout,purpose and function,arrange,purpose and function,6,6,6,3.0,3
1521,User account management,Layout,positioning use design software to ensure alignment,uniform font style to be use consistently,ranking text,6,6,6,3.0,3
1541,Accessing and managing information,Layout,Add note or detail,show,text field,7,7,7,4.0,4
1542,Customization of app settings and preferences,Layout,primary purpose,add,two label,4,4,4,2.0,2
1545,Location and Travel,Layout,current lack,add,vibrant and eye-catch color,2,3,2,2.0,1
1561,User account management,Usability of Buttons,ranking text,increase,ranking text,6,6,6,3.0,3
1572,Media and content interaction,Layout,more readable font,increase,more readable font,6,6,6,3.0,3
1573,Media and content interaction,Layout,more readable font,be,same,5,4,5,2.0,2
1582,Customization of app settings and preferences,Layout,essential content,make,essential content,6,5,6,2.0,3
1594,Location and Travel,Layout,ranking text,increase,ranking text,5,5,5,3.0,2
1599,Exploration and Navigation,Layout,ranking text,increase,ranking text,6,6,6,3.0,3
1600,Exploration and Navigation,Text Readability,purpose and function,prominently position back button,purpose and function,7,7,7,3.0,4
1605,Customization of app settings and preferences,Layout,ranking text,increase,ranking text,6,6,6,3.0,3
1606,Customization of app settings and preferences,Layout,purpose and function,align,purpose and function,6,6,6,3.0,3
1622,User account management,Usability of Buttons,setting page,clarify,primary purpose,7,6,6,3.0,3
1626,Exploration and Navigation,Learnability,ranking text,change,ranking text,6,6,6,3.0,3
1630,User account management,Layout,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,6,6,6,3.0,3
1636,Exploration and Navigation,Layout,text color contrast,uniform font style to be use consistently,current button size,6,6,6,3.0,3
1641,Customization of app settings and preferences,Layout,ranking text,increase,ranking text,6,6,6,3.0,3
1642,Customization of app settings and preferences,Layout,essential content,offer,uneven padding,6,6,6,3.0,3
1650,Exploration and Navigation,Layout,purpose and function,align,purpose and function,6,6,6,3.0,3
1670,User account management,Layout,button or icon allow user to see current location,make,button or icon allow user to see current location,5,5,5,3.0,2
1674,Media and content interaction,Layout,button or icon allow user to see current location,align,button or icon allow user to see current location,4,4,4,2.0,2
1682,Media and content interaction,Learnability,positioning use design software to ensure alignment,add,appropriate icon clearly represent function,5,6,6,3.0,3
1686,User account management,Layout,ranking text,increase,ranking text,6,6,6,3.0,3
1687,User account management,Learnability,positioning use design software to ensure alignment,organize,positioning use design software to ensure alignment,7,7,7,4.0,3
1689,Exploration and Navigation,Layout,purpose and function,separation,purpose and function,4,4,4,2.0,2
1704,User account management,Layout,ranking text,increase,ranking text,6,6,6,3.0,3
1710,Exploration and Navigation,Layout,positioning use design software to ensure alignment,uniform font style to be use consistently,positioning use design software to ensure alignment,6,6,6,3.0,3
1720,Location and Travel,Layout,screen,improve,positioning use design software to ensure alignment,6,5,6,2.0,3
1722,Media and content interaction,Layout,purpose and function,align,purpose and function,6,6,6,3.0,3
1725,Customization of app settings and preferences,Layout,Wi-fi auto-connection set screen,remove,ranking text,6,6,6,3.0,3
1735,Exploration and Navigation,Layout,text color contrast,uniform font style to be use consistently,text color contrast,6,6,6,3.0,3
1752,Exploration and Navigation,Layout,text color contrast,uniform font style to be use consistently,text color contrast,6,5,6,2.0,3
1764,Accessing and managing information,Layout,highlighted section,uniform font style to be use consistently,text color contrast,6,6,6,3.0,3
1770,User account management,Layout,ranking text,increase,current button size,6,6,6,3.0,3
1776,Location and Travel,Color Contrast,more readable font,uniform font style to be use consistently,current button size,6,6,6,3.0,3
1782,Exploration and Navigation,Layout,purpose and function,align,purpose and function,7,7,7,3.0,4
1783,Accessing and managing information,Layout,current button size,increase,current button size,6,5,6,2.0,3
1797,Location and Travel,Layout,affordance,two label,breakfast icon,6,6,6,3.0,3
1806,Media and content interaction,Usability of Buttons,facebook app,make,designer,6,6,6,3.0,3
1809,Media and content interaction,Color Contrast,text color contrast,uniform font style to be use consistently,text color contrast,6,6,6,3.0,3
1821,Media and content interaction,Layout,positioning use design software to ensure alignment,reintegrate,clear and functional checkbox,3,4,3,2.0,2
1836,User account management,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
1839,Media and content interaction,Usability of Buttons,positioning use design software to ensure alignment,revise,positioning use design software to ensure alignment,6,6,6,3.0,3
1842,User account management,Layout,ranking text,increase,ranking text,4,4,4,2.0,2
1846,User account management,Layout,more readable font,increase,current button size,5,4,5,2.0,2
1849,Exploration and Navigation,Layout,ranking text,increase,ranking text,6,5,6,2.0,3
1851,Media and content interaction,Layout,facebook app,thorough redesign,user-friendly menu system,5,5,5,2.0,3
1869,Exploration and Navigation,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
1870,Exploration and Navigation,Usability of Buttons,Add Location button,align,Add Location button,7,7,7,4.0,3
1873,Exploration and Navigation,Color Contrast,ranking text,be,text color contrast,5,5,5,3.0,2
1875,Accessing and managing information,Learnability,placeholder image or alternative visual content,uniform font style to be use consistently,placeholder image or alternative visual content,7,7,7,4.0,3
1891,Exploration and Navigation,Layout,positioning use design software to ensure alignment,thorough redesign,ui,7,7,7,4.0,3
1893,Exploration and Navigation,Text Readability,ranking text,increase,ranking text,6,6,6,3.0,3
1894,Exploration and Navigation,Text Readability,ranking text,increase,ranking text,6,5,6,2.0,3
1896,Location and Travel,Usability of Buttons,clear and functional checkbox,add,scroll bar or way for user to navigate,3,4,3,2.0,2
1921,Exploration and Navigation,Usability of Buttons,absence,thorough redesign,positioning use design software to ensure alignment,3,4,3,2.0,2
1927,Customization of app settings and preferences,Usability of Buttons,positioning use design software to ensure alignment,reintegrate,appropriate icon clearly represent function,4,4,4,2.0,2
1928,Customization of app settings and preferences,Text Readability,checkboxe,uniform font style to be use consistently,image/ doodle be clearly visible,5,5,5,2.0,3
1929,Accessing and managing information,Layout,breakfast icon,change,breakfast icon,7,7,7,3.0,4
1933,Media and content interaction,Learnability,positioning use design software to ensure alignment,uniform font style to be use consistently,placeholder image or alternative visual content,5,5,5,2.0,3
1945,User account management,Layout,facebook app,reintroduce,separate background,5,4,5,2.0,2
1961,Customization of app settings and preferences,Layout,status indicator,make,status indicator,4,5,5,2.0,3
1965,Exploration and Navigation,Layout,positioning use design software to ensure alignment,make,positioning use design software to ensure alignment,4,4,4,2.0,2
1971,Exploration and Navigation,Layout,breakfast icon,uniform font style to be use consistently,breakfast icon,4,4,4,2.0,2
1981,Exploration and Navigation,Usability of Buttons,more readable font,uniform font style to be use consistently,current button size,6,5,6,2.0,3
1982,Media and content interaction,Text Readability,button or icon allow user to see current location,make,designer,5,4,5,2.0,2
1994,Exploration and Navigation,Layout,more readable font,uniform font style to be use consistently,current button size,6,6,6,3.0,3
2000,Accessing and managing information,Layout,button or icon allow user to see current location,move,button or icon allow user to see current location,6,6,6,3.0,3
2006,Exploration and Navigation,Layout,text color contrast,uniform font style to be use consistently,text color contrast,6,5,6,2.0,3
2032,Accessing and managing information,Layout,ranking text,increase,separate background,3,4,3,2.0,2
2044,Media and content interaction,Layout,ranking text,increase,ranking text,3,4,3,2.0,2
2046,Accessing and managing information,Layout,button or icon allow user to see current location,increase,button or icon allow user to see current location,5,5,5,2.0,2
2053,Location and Travel,Color Contrast,positioning use design software to ensure alignment,thorough redesign,setting page,6,6,6,3.0,3
2054,Location and Travel,Usability of Buttons,purpose and function,add,section border,2,3,2,2.0,1
2059,Accessing and managing information,Layout,background theme and graphic,change,background theme and graphic,6,6,6,3.0,3
2068,Location and Travel,Layout,absence,reintegrate,breakfast icon,3,4,3,2.0,2
2071,Media and content interaction,Layout,more readable font,increase,current button size,6,5,6,2.0,3
2090,Media and content interaction,Layout,button or icon allow user to see current location,two label,button or icon allow user to see current location,6,5,6,2.0,3
2092,Accessing and managing information,Layout,more readable font,uniform font style to be use consistently,current button size,5,5,5,3.0,2
2122,User account management,Color Contrast,ranking text,make,ranking text,6,6,6,3.0,3
2134,Exploration and Navigation,Layout,text color contrast,uniform font style to be use consistently,text color contrast,6,6,6,3.0,3
2138,Media and content interaction,Color Contrast,current button size,increase,current button size,6,5,6,2.0,3
2169,Customization of app settings and preferences,Text Readability,text color contrast,uniform font style to be use consistently,text color contrast,6,5,6,3.0,3
2183,Exploration and Navigation,Layout,placeholder image or alternative visual content,align,placeholder image or alternative visual content,6,6,6,3.0,3
2204,Accessing and managing information,Layout,ui,uniform font style to be use consistently,positioning use design software to ensure alignment,7,7,7,4.0,3
2210,Accessing and managing information,Text Readability,more readable font,uniform font style to be use consistently,current button size,6,6,6,3.0,3
2213,Media and content interaction,Layout,ranking text,increase,ranking text,3,4,3,2.0,2
2220,User account management,Layout,button or icon allow user to see current location,move,button or icon allow user to see current location,6,6,6,3.0,3
2237,Customization of app settings and preferences,Layout,equalizer,thorough redesign,equalizer,6,6,6,3.0,3
2242,Exploration and Navigation,Text Readability,ranking text,button place,ranking text,5,4,5,2.0,2
2244,Accessing and managing information,Learnability,button or icon allow user to see current location,change,button or icon allow user to see current location,5,5,5,3.0,2
2245,Accessing and managing information,Color Contrast,button or icon allow user to see current location,change,button or icon allow user to see current location,5,4,5,2.0,2
2247,Media and content interaction,Layout,separate background,choose,text color contrast,6,6,6,3.0,3
2249,Media and content interaction,Text Readability,setting bar,add,setting bar,6,6,6,3.0,3
2258,Accessing and managing information,Layout,button or icon allow user to see current location,make,designer,6,6,6,3.0,3
2267,Media and content interaction,Usability of Buttons,ranking text,enlarge,current button size,5,4,5,2.0,2
2275,Location and Travel,Color Contrast,ranking text,increase,ranking text,6,6,6,3.0,3
2277,Location and Travel,Layout,choose,make,choose,5,5,5,3.0,2
2291,Customization of app settings and preferences,Layout,text color contrast,uniform font style to be use consistently,text color contrast,5,5,5,3.0,2
2293,Accessing and managing information,Text Readability,breakfast icon,uniform font style to be use consistently,unnecessarily large font,6,6,6,3.0,3
2294,Accessing and managing information,Layout,positioning use design software to ensure alignment,uniform font style to be use consistently,purpose and function,6,5,6,2.0,3
2302,Exploration and Navigation,Layout,positioning use design software to ensure alignment,uniform font style to be use consistently,positioning use design software to ensure alignment,4,4,4,2.0,2
2311,Location and Travel,Text Readability,ranking text,uniform font style to be use consistently,current button size,6,6,6,3.0,3
2324,Customization of app settings and preferences,Layout,disagree button,emphasize,disagree button,5,5,5,3.0,2
2329,Location and Travel,Text Readability,ranking text,increase,ranking text,6,6,6,3.0,3
2332,Media and content interaction,Layout,positioning use design software to ensure alignment,improve,positioning use design software to ensure alignment,5,4,5,2.0,2
2335,Customization of app settings and preferences,Layout,Confirm Country and Language pop,thorough redesign,pop,4,4,4,2.0,2
2348,Media and content interaction,Text Readability,ranking text,enlarge,ranking text,5,4,5,2.0,2
2356,Accessing and managing information,Text Readability,Change Log text,make,Change Log text,6,6,6,3.0,3
2359,Customization of app settings and preferences,Layout,ranking text,increase,ranking text,6,6,6,3.0,3
2365,Media and content interaction,Layout,ui,be,more readable font,6,6,6,3.0,3
2380,User account management,Layout,ranking text,increase,current button size,6,5,6,2.0,3
2390,Customization of app settings and preferences,Text Readability,ranking text,enlarge,ranking text,6,6,6,3.0,3
2392,Exploration and Navigation,Layout,ranking text,uniform font style to be use consistently,current button size,6,6,6,3.0,3
2393,Exploration and Navigation,Layout,purpose and function,align,purpose and function,6,6,6,3.0,3
2395,Customization of app settings and preferences,Color Contrast,uniform font style to be use consistently,change,text color contrast,6,6,6,3.0,3
2404,Media and content interaction,Learnability,ranking text,increase,ranking text,6,6,6,3.0,3
2405,Media and content interaction,Layout,purpose and function,align,purpose and function,4,4,4,2.0,2
2407,Location and Travel,Layout,purpose and function,separation,purpose and function,5,5,5,2.0,3
2415,Customization of app settings and preferences,Learnability,ranking text,increase,current button size,4,4,4,2.0,2
2419,Exploration and Navigation,Learnability,more concise language,know,clear and functional checkbox,5,4,5,2.0,2
2420,Exploration and Navigation,Layout,positioning use design software to ensure alignment,reintegrate,menu option layout,3,4,3,2.0,2
2423,Location and Travel,Layout,ranking text,increase,ranking text,6,6,6,3.0,3
2424,Location and Travel,Usability of Buttons,positioning use design software to ensure alignment,revise,positioning use design software to ensure alignment,6,5,6,2.0,3
2426,Location and Travel,Layout,more readable font,uniform font style to be use consistently,more readable font,6,6,6,3.0,3
2432,Media and content interaction,Layout,purpose and function,align,purpose and function,4,4,4,2.0,2
2440,Accessing and managing information,Layout,current button size,be,same,6,6,6,3.0,3
2441,Exploration and Navigation,Learnability,two label,uniform font style to be use consistently,two label,6,6,6,3.0,3
2453,Location and Travel,Layout,text color contrast,declutter,text color contrast,6,6,6,3.0,3
2462,Accessing and managing information,Layout,current lack,leave alignment,space element,6,6,6,3.0,3
2465,Location and Travel,Usability of Buttons,ranking text,increase,ranking text,6,6,6,3.0,3
2468,Exploration and Navigation,Layout,button or icon allow user to see current location,make,designer,6,6,6,3.0,3
2477,User account management,Layout,separate background,choose,text color contrast,6,6,6,3.0,3
2481,Location and Travel,Layout,facebook app,add,text color contrast,6,5,6,2.0,3
2484,Exploration and Navigation,Layout,purpose and function,increase,uneven padding,3,4,3,2.0,2
2486,Media and content interaction,Layout,more readable font,uniform font style to be use consistently,more readable font,6,6,6,3.0,3
2498,Media and content interaction,Layout,ranking text,increase,ranking text,6,6,6,3.0,3
2500,Media and content interaction,Layout,Update Questions button,move,Update Questions button,6,6,6,3.0,3
2507,Customization of app settings and preferences,Text Readability,checkbox contrast,enlarge,checkbox contrast,6,6,6,3.0,3
2516,Exploration and Navigation,Layout,ranking text,be,ranking text,6,6,6,3.0,3
2517,Exploration and Navigation,Layout,appropriate icon clearly represent function,include,text field,5,5,5,3.0,2
2519,Customization of app settings and preferences,Layout,ranking text,increase,current button size,6,6,6,3.0,3
2531,Media and content interaction,Layout,more readable font,uniform font style to be use consistently,current button size,6,6,6,3.0,3
2537,Exploration and Navigation,Layout,confusing layout and unclear navigation,declutter,confusing layout and unclear navigation,4,4,4,2.0,2
2543,Exploration and Navigation,Layout,separate background,uniform font style to be use consistently,text color contrast,4,4,4,2.0,2
2549,Location and Travel,Learnability,clear and functional checkbox,add,clear layout and intuitive navigation,6,6,6,3.0,3
2560,Location and Travel,Layout,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,6,6,6,3.0,3
2564,Location and Travel,Layout,button or icon allow user to see current location,uniform font style to be use consistently,text 's small size and low color contrast,6,5,6,2.0,3
2568,User account management,Layout,facebook app,thorough redesign,user-friendly menu system,5,4,5,2.0,2
2574,Exploration and Navigation,Text Readability,tv Providers button,change,tv Providers button,4,6,5,3.0,3
2577,User account management,Learnability,ranking text,increase,ranking text,3,4,3,2.0,2
2579,Media and content interaction,Layout,ranking text,increase,current button size,6,6,6,3.0,3
2595,Media and content interaction,Layout,confusing layout and unclear navigation,add,setting bar,7,7,7,4.0,3
2613,Media and content interaction,Layout,star icon,move,star icon,6,5,6,2.0,3
2615,Media and content interaction,Layout,item load but lack proper visual-blank image,center,item load but lack proper visual-blank image,5,4,5,2.0,2
2616,Exploration and Navigation,Layout,ranking text,make,ranking text,6,6,6,3.0,3
2643,Accessing and managing information,Layout,confusing layout and unclear navigation,prioritize,purpose and function,3,4,3,2.0,2
2646,Media and content interaction,Layout,ranking text,make,ranking text,6,6,6,3.0,3
2659,Customization of app settings and preferences,Layout,ranking text,increase,ranking text,6,5,6,2.0,3
2662,User account management,Layout,ranking text,increase,separate background,4,4,4,2.0,2
2663,Location and Travel,Layout,map,make,setting bar,6,6,6,3.0,3
2664,Location and Travel,Layout,map,make,setting bar,5,5,5,3.0,2
2678,Accessing and managing information,Layout,more readable font,increase,current button size,6,6,6,3.0,3
2684,Media and content interaction,Layout,button or icon allow user to see current location,button place,button or icon allow user to see current location,5,5,5,2.0,3
2688,Customization of app settings and preferences,Layout,ranking text,increase,ranking text,5,5,5,2.0,3
2696,Customization of app settings and preferences,Layout,placeholder image or alternative visual content,align,placeholder image or alternative visual content,4,4,4,2.0,2
2714,Accessing and managing information,Layout,ranking text,be,ranking text,4,4,4,2.0,2
2723,User account management,Layout,positioning use design software to ensure alignment,uniform font style to be use consistently,positioning use design software to ensure alignment,7,7,7,3.0,4
2729,Customization of app settings and preferences,Layout,purpose and function,thorough redesign,dark color scheme Bounding Box,6,6,6,3.0,3
2736,Exploration and Navigation,Learnability,more readable font,uniform font style to be use consistently,current button size,5,5,5,3.0,2
2747,Customization of app settings and preferences,Layout,separation line,uniform font style to be use consistently,separation line,6,6,6,3.0,3
2756,Accessing and managing information,Layout,positioning use design software to ensure alignment,uniform font style to be use consistently,purpose and function,6,6,6,3.0,3
2762,Accessing and managing information,Layout,purpose and function,make,purpose and function,5,5,5,3.0,2
2775,Media and content interaction,Layout,purpose and function,uniform font style to be use consistently,element label Unknown,5,4,5,2.0,2
2785,Accessing and managing information,Layout,text color contrast,change,text color contrast,7,7,7,4.0,3
2792,Customization of app settings and preferences,Layout,facebook app,reintegrate,text color contrast,6,6,6,3.0,3
2800,Accessing and managing information,Text Readability,lot,reintegrate,purpose and function,6,6,6,3.0,3
2801,Accessing and managing information,Layout,space element,uniform font style to be use consistently,placeholder image or alternative visual content,4,4,4,2.0,2
2806,User account management,Layout,text 's small size and low color contrast,improve,separate background,3,4,3,2.0,2
2813,Location and Travel,Layout,purpose and function,reintegrate,same font size / type / color weight,4,4,4,2.0,2
2815,Media and content interaction,Layout,purpose and function,prominently position back button,purpose and function,5,5,5,3.0,2
2821,Media and content interaction,Layout,facebook app,declutter,facebook app,6,6,6,3.0,3
2833,Exploration and Navigation,Layout,breakfast icon,increase,setting bar,6,6,6,3.0,3
2845,Exploration and Navigation,Layout,black circle,uniform font style to be use consistently,blue icon,4,4,4,2.0,2
2848,Exploration and Navigation,Layout,ranking text,increase,ranking text,3,4,3,2.0,2
2853,Exploration and Navigation,Text Readability,text color contrast,uniform font style to be use consistently,text 's small size and low color contrast,7,7,7,4.0,4
2854,User account management,Layout,current login form,make,two label,6,6,6,3.0,3
2857,Exploration and Navigation,Layout,positioning use design software to ensure alignment,be,positioning use design software to ensure alignment,6,6,6,3.0,3
2864,User account management,Layout,more readable font,increase,current button size,6,5,6,2.0,3
2866,Accessing and managing information,Layout,positioning use design software to ensure alignment,make,designer,6,6,6,3.0,3
2887,Exploration and Navigation,Layout,facebook app,uniform font style to be use consistently,placeholder image or alternative visual content,6,6,6,3.0,3
2890,Media and content interaction,Layout,red color bar,change,text color contrast,6,6,6,3.0,3
2893,Media and content interaction,Layout,ranking text,increase,current button size,6,6,6,3.0,3
2908,Accessing and managing information,Layout,text color contrast,uniform font style to be use consistently,text color contrast,6,6,6,3.0,3
2911,Location and Travel,Layout,positioning use design software to ensure alignment,uniform font style to be use consistently,purpose and function,4,4,4,2.0,2
2915,Accessing and managing information,Layout,positioning use design software to ensure alignment,uniform font style to be use consistently,positioning use design software to ensure alignment,6,6,6,3.0,3
2925,Media and content interaction,Layout,advertisement,try,de,4,5,4,2.0,3
2929,Exploration and Navigation,Layout,ranking text,make,ranking text,3,4,3,2.0,2
2932,Exploration and Navigation,Layout,separate background,choose,text color contrast,6,6,6,3.0,3
2935,Exploration and Navigation,Learnability,clear and functional checkbox,make,user-friendly menu system,6,6,6,3.0,3
2936,Exploration and Navigation,Layout,user-friendly menu system,make,user-friendly menu system,5,5,5,2.0,3
2943,Media and content interaction,Layout,highlighted section,give,similar graphic treatment,6,6,6,3.0,3
2950,Exploration and Navigation,Layout,more readable font,increase,more readable font,6,6,6,3.0,3
2952,Exploration and Navigation,Layout,menu option layout,make,designer,7,7,7,4.0,3
2955,User account management,Layout,positioning use design software to ensure alignment,revise,positioning use design software to ensure alignment,6,6,6,3.0,3
2959,Customization of app settings and preferences,Layout,current button size,increase,current button size,6,6,6,3.0,3
2964,Location and Travel,Layout,button or icon allow user to see current location,move,button or icon allow user to see current location,7,7,7,4.0,4
2965,User account management,Layout,text color contrast,uniform font style to be use consistently,text color contrast,6,6,6,3.0,3
2966,User account management,Layout,positioning use design software to ensure alignment,uniform font style to be use consistently,positioning use design software to ensure alignment,5,5,5,3.0,2
2968,Media and content interaction,Layout,positioning use design software to ensure alignment,revise,positioning use design software to ensure alignment,6,6,6,3.0,3
2975,Exploration and Navigation,Text Readability,uniform font style to be use consistently,increase,current button size,6,5,6,3.0,3
2976,Location and Travel,Layout,ranking text,increase,current button size,6,6,6,3.0,3
2,Accessing and managing information,Text Readability,ranking text,increase,current button size,6,5,6,2.0,3
52,User account management,Layout,current button size,increase,current button size,6,6,6,3.0,3
67,Media and content interaction,Layout,purpose and function,align,purpose and function,4,4,4,2.0,2
95,User account management,Usability of Buttons,ranking text,increase,ranking text,6,6,6,3.0,3
97,User account management,Layout,facebook app,uniform font style to be use consistently,placeholder image or alternative visual content,5,5,5,3.0,2
99,User account management,Usability of Buttons,facebook app,uniform font style to be use consistently,placeholder image or alternative visual content,6,7,7,4.0,4
115,Exploration and Navigation,Layout,positioning use design software to ensure alignment,revise,positioning use design software to ensure alignment,6,6,6,3.0,3
116,Exploration and Navigation,Layout,positioning use design software to ensure alignment,increase,space element,7,7,7,4.0,3
135,Customization of app settings and preferences,Layout,placeholder image or alternative visual content,uniform font style to be use consistently,placeholder image or alternative visual content,3,4,3,2.0,2
157,Media and content interaction,Layout,information,organize,information,4,4,4,2.0,2
162,Media and content interaction,Usability of Buttons,positioning use design software to ensure alignment,revise,positioning use design software to ensure alignment,6,6,6,3.0,3
174,Media and content interaction,Layout,ranking text,increase,ranking text,6,6,6,3.0,3
185,Accessing and managing information,Layout,unnecessarily large font,replace,black circle,5,4,5,2.0,2
216,Exploration and Navigation,Layout,uniform font style to be use consistently,uniform font style to be use consistently,text color contrast,6,5,6,2.0,3
225,Accessing and managing information,Usability of Buttons,text color contrast,uniform font style to be use consistently,"more common language , such",5,5,5,2.0,3
230,Exploration and Navigation,Layout,confusing layout and unclear navigation,declutter,confusing layout and unclear navigation,5,4,5,2.0,2
260,Exploration and Navigation,Layout,purpose and function,give,similar graphic treatment,7,7,7,3.0,4
266,Media and content interaction,Layout,essential content,make,essential content,3,4,3,2.0,2
267,Exploration and Navigation,Layout,ranking text,make,ranking text,6,5,6,2.0,3
284,Accessing and managing information,Layout,text color contrast,uniform font style to be use consistently,text color contrast,6,6,6,3.0,3
300,Accessing and managing information,Layout,facebook app,add,placeholder image or alternative visual content,5,4,5,2.0,2
306,Media and content interaction,Usability of Buttons,Update Questions button,make,Update Questions button,6,5,6,2.0,3
322,User account management,Layout,positioning use design software to ensure alignment,revise,positioning use design software to ensure alignment,5,4,5,2.0,2
359,Exploration and Navigation,Layout,more readable font,uniform font style to be use consistently,current button size,6,6,6,3.0,3
369,Media and content interaction,Layout,ranking text,increase,ranking text,3,4,3,2.0,2
380,Media and content interaction,Layout,separate background,change,text color contrast,6,5,6,2.0,3
392,Accessing and managing information,Layout,ranking text,increase,ranking text,6,5,6,2.0,3
416,Accessing and managing information,Layout,purpose and function,thorough redesign,ui,6,6,6,3.0,3
439,User account management,Layout,button or icon allow user to see current location,make,designer,5,5,5,3.0,3
440,Customization of app settings and preferences,Layout,purpose and function,thorough redesign,ui,6,6,6,3.0,3
470,User account management,Usability of Buttons,ranking text,add,information,6,6,6,3.0,3
494,Accessing and managing information,Learnability,more concise language,change,more concise language,6,6,6,3.0,3
514,Customization of app settings and preferences,Layout,purpose and function,align,purpose and function,6,6,6,3.0,3
515,Customization of app settings and preferences,Usability of Buttons,text field,change,two label,6,5,6,2.0,3
523,Media and content interaction,Layout,positioning use design software to ensure alignment,uniform font style to be use consistently,purpose and function,7,7,7,4.0,3
524,Media and content interaction,Layout,button or icon allow user to see current location,make,designer,4,4,4,2.0,2
525,Media and content interaction,Layout,more readable font,uniform font style to be use consistently,current button size,5,4,5,2.0,2
533,Media and content interaction,Layout,button or icon allow user to see current location,make,designer,5,4,5,2.0,2
540,Location and Travel,Layout,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,6,5,6,2.0,3
551,Customization of app settings and preferences,Usability of Buttons,button or icon allow user to see current location,align,button or icon allow user to see current location,6,7,7,4.0,4
558,Media and content interaction,Layout,ranking text,increase,ranking text,6,6,6,3.0,3
559,Media and content interaction,Layout,ranking text,increase,ranking text,3,4,3,2.0,2
570,User account management,Usability of Buttons,more readable font,uniform font style to be use consistently,current button size,3,4,3,2.0,2
