id,comment1_problem,comment1_solution_verb,comment1_solution_obj,comment2_problem,comment2_solution_verb,comment2_solution_obj,comment3_problem,comment3_solution_verb,comment3_solution_obj,comment4_problem,comment4_solution_verb,comment4_solution_obj,comment5_problem,comment5_solution_verb,comment5_solution_obj,comment6_problem,comment6_solution_verb,comment6_solution_obj,comment7_problem,comment7_solution_verb,comment7_solution_obj
2817,unknown,adjust,text color contrast,"text "" pende upload 0 > """,accompany,""" pende upload "" title",unknown,increase,separate background,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2818,current lack,establish,clear layout and intuitive navigation,unknown,correct,error and omission except,unknown,unknown,unknown,information,uniform font style to be use consistently,placeholder image or alternative visual content,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2819,login and logo,change,prominently position back button,facebook app,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2820,spacing,ensure,designer,breakfast icon,consider,designer,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2821,RESTORE PURCHASES button,increase,separate background,uniform font style to be use consistently,reduce,amount,screen,thorough redesign,screen,information,organize,information,confusing layout and unclear navigation,add,clear and functional checkbox,facebook app,declutter,facebook app,unknown,unknown,unknown
2822,label Eurosport,add,breakfast icon,confusing layout and unclear navigation,add,clear and functional checkbox,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2823,unknown,adjust,text color contrast,unknown,be,standardize,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2824,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,breakfast icon,enlarge,unknown,current button size,increase,current button size,heading,increase,current button size,facebook app,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2825,unknown,change,text color contrast,categorize animal base,change,two label,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2826,color weight,increase,color weight,ranking text,increase,ranking text,ranking text,make,change,unknown,keep,essential content,more readable font,make,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown
2827,current button size,increase,current button size,ranking text,increase,current button size,ranking text,replace,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2828,two label,add,clear layout and intuitive navigation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2829,element label Unknown,button place,purpose and function,ranking text,uniform font style to be use consistently,text 's small size and low color contrast,ranking text,uniform font style to be use consistently,text 's small size and low color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2830,ranking text,increase,current button size,ranking text,change,text color contrast,current button size,increase,current button size,unknown,thorough redesign,unknown,unknown,add,button or icon allow user to see current location,unknown,uniform font style to be use consistently,current button size,ranking text,increase,ranking text
2831,breakfast icon,resize,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2832,purpose and function,give,similar graphic treatment,breakfast icon,increase,current button size,ranking text,increase,ranking text,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2833,ranking text,change,text color contrast,ranking text,increase,current button size,unknown,thorough redesign,unknown,unknown,add,button or icon allow user to see current location,purpose and function,thorough redesign,dark color scheme Bounding Box,breakfast icon,increase,setting bar,setting page,thorough redesign,setting page
2834,unknown,improve,clear and functional checkbox,item load but lack proper visual-blank image,uniform font style to be use consistently,text 's small size and low color contrast,purpose and function,align,purpose and function,positioning use design software to ensure alignment,make,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2835,unknown,try,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2836,empty card,ensure,unknown,unknown,add,setting bar,prominently position back button,give,similar graphic treatment,unknown,declutter,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2837,item load but lack proper visual-blank image,replace,item load but lack proper visual-blank image,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2838,unknown,add,essential content,unknown,add,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2839,drivercamrecord,be,dark color scheme Bounding Box,unknown,improve,placeholder image or alternative visual content,Recording and Background recording button,make,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2840,space element,maintain,spacing,unknown,resize,breakfast icon,breakfast icon,know,breakfast icon,unknown,remove,current ad section,Recording and Background recording button,make,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2841,space element,maintain,spacing,unknown,resize,breakfast icon,unknown,resize,breakfast icon,unknown,resize,breakfast icon,current lack,add,space element,unknown,unknown,unknown,unknown,unknown,unknown
2842,ranking text,increase,current button size,ranking text,change,text color contrast,breakfast icon,increase,setting bar,purpose and function,arrange,purpose and function,unknown,uniform font style to be use consistently,same font size / type / color weight,unknown,add,button or icon allow user to see current location,unknown,add,button or icon allow user to see current location
2843,heading,change,text color contrast,ranking text,increase,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2844,header and sub header,make,ranking text,ranking text,button place,ranking text,ranking text,make,unknown,unknown,separation,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2845,brown button,adjust,icon ' color,unknown,unknown,unknown,unknown,unknown,unknown,clear and functional checkbox,add,scroll bar or way for user to navigate,unknown,unknown,unknown,black circle,uniform font style to be use consistently,blue icon,unknown,unknown,unknown
2846,breakfast icon,replace,breakfast icon,sport button,emphasize,sport button,unknown,add,clear close icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2847,ranking text,adjust,text color contrast,breakfast icon,adjust,current button size,breakfast icon,consider,unknown,heading,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2848,purpose and function,add,section border,ranking text,increase,current button size,unknown,unknown,unknown,same font size / type / color weight,add,section border,confusing layout and unclear navigation,reintegrate,button or icon allow user to see current location,ranking text,increase,ranking text,facebook app,connect,facebook app
2849,unknown,add,proper hierarchy,ranking text,increase,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2850,unknown,have,Connected Devices,uniform font style to be use consistently,have,primary purpose,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2851,text ),increase,current button size,ranking text,change,text color contrast,current button size,reduce,current button size,unknown,try,unknown,ranking text,increase,current button size,uniform font style to be use consistently,try,unknown,unknown,unknown,unknown
2852,advertisement,add,clear close icon,breakfast icon,resize,breakfast icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2853,unknown,add,breakfast icon,breakfast icon,add,breakfast icon,item load but lack proper visual-blank image,increase,current button size,text color contrast,uniform font style to be use consistently,text 's small size and low color contrast,text color contrast,uniform font style to be use consistently,text 's small size and low color contrast,text color contrast,uniform font style to be use consistently,text 's small size and low color contrast,unknown,unknown,unknown
2854,ranking text,increase,current button size,ranking text,change,text color contrast,ranking text,thorough redesign,dark color scheme Bounding Box,unknown,thorough redesign,ui,ranking text,make,ranking text,current login form,make,two label,unknown,unknown,unknown
2855,more familiar icon and term,maintain,more readable font,ranking text,make,ranking text,current login form,make,two label,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2856,unknown,straighten,thing,unknown,need,unknown,unknown,unknown,unknown,loading issue,increase,current button size,ranking text,make,ranking text,unknown,unknown,unknown,unknown,unknown,unknown
2857,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,thorough redesign,ui,hamburger Menu,thorough redesign,dark color scheme Bounding Box,unknown,add,button or icon allow user to see current location,positioning use design software to ensure alignment,be,positioning use design software to ensure alignment,positioning use design software to ensure alignment,replace,ranking text
2858,facebook app,maintain,first letter,item load but lack proper visual-blank image,uniform font style to be use consistently,text 's small size and low color contrast,unknown,replace,login and logo,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2859,unknown,adjust,separate background,restaurant name,ensure,unknown,button or icon allow user to see current location,adjust,systematic arrangement,breakfast icon,replace,breakfast icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2860,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,try,unknown,current button size,increase,current button size,unknown,thorough redesign,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2861,positioning use design software to ensure alignment,increase,separate background,error and omission except,uniform font style to be use consistently,clear and functional checkbox,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2862,error and omission except,revise,error and omission except,heading,declutter,heading,button or icon allow user to see current location,relocate,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2863,current lack,uniform font style to be use consistently,unknown,vibrant and eye-catch color,align,vibrant and eye-catch color,more readable font,uniform font style to be use consistently,more readable font,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2864,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,spacing,add,space element,facebook app,increase,current button size,current button size,increase,current button size,button or icon allow user to see current location,add,space element,more readable font,increase,current button size,information,organize,information
2865,heading,try,unknown,unknown,move,highlighted three dot,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2866,text color contrast,change,text color contrast,unknown,increase,current button size,ranking text,increase,current button size,current lack,leave alignment,space element,more readable font,uniform font style to be use consistently,current button size,positioning use design software to ensure alignment,make,designer,unknown,unknown,unknown
2867,breakfast icon,change,text color contrast,more readable font,uniform font style to be use consistently,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2868,breakfast icon,change,text color contrast,ranking text,increase,color weight,back arrow icon,align,breakfast icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2869,vibrant and eye-catch color,add,vibrant and eye-catch color,ranking text,unknown,unknown,ranking text,increase,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2870,highlighted section,ensure,unknown,positioning use design software to ensure alignment,make,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2871,heading,consider,unknown,unknown,add,clear layout and intuitive navigation,ranking text,adjust,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2872,ranking text,offer,uneven padding,unknown,consider,unknown,unknown,remove,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2873,button may lead,add,clear layout and intuitive navigation,Choose and km button,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2874,ranking text,remove,ranking text,text color contrast,choose,text color contrast,unknown,remove,ranking text,text color contrast,choose,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2875,ranking text,increase,current button size,breakfast icon,increase,setting bar,unknown,thorough redesign,ui,purpose and function,thorough redesign,ui,designer,uniform font style to be use consistently,excessive whitespace be not contribute,unknown,unknown,unknown,unknown,unknown,unknown
2876,login and logo,increase,current button size,unknown,uniform font style to be use consistently,space element,uniform font style to be use consistently,uniform font style to be use consistently,excessive whitespace be not contribute,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2877,breakfast icon,adjust,systematic arrangement,favorite button,improve,appearance,breakfast icon,replace,breakfast icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2878,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,current button size,increase,current button size,standard drop,enlarge,standard drop,ranking text,improve,legibility,ranking text,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown
2879,location tab,add,more appropriate visual cue,unknown,adjust,text color contrast,ranking text,increase,current button size,"more common language , such",make,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2880,call,change,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2881,ranking text,increase,ranking text,ranking text,change,text color contrast,unknown,add,setting bar,more readable font,increase,current button size,text color contrast,make,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown
2882,breakfast icon,consider,unknown,text color contrast,uniform font style to be use consistently,text color contrast,positioning use design software to ensure alignment,make,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2883,breakfast icon,be,dark color scheme Bounding Box,ranking text,unknown,unknown,unknown,make,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2884,breakfast icon,remove,breakfast icon,more readable font,adjust,more readable font,ranking text,uniform font style to be use consistently,more readable font,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2885,location tab,improve,placeholder image or alternative visual content,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2886,breakfast icon,resize,breakfast icon,2016 BBC,make,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2887,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,uniform font style to be use consistently,same font size / type / color weight,unknown,thorough redesign,unknown,purpose and function,uniform font style to be use consistently,placeholder image or alternative visual content,facebook app,uniform font style to be use consistently,placeholder image or alternative visual content,unknown,unknown,unknown
2888,unknown,uniform font style to be use consistently,current button size,vibrant and eye-catch color,leave alignment,breakfast icon,text color contrast,uniform font style to be use consistently,text color contrast,essential content,uniform font style to be use consistently,placeholder image or alternative visual content,purpose and function,arrange,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown
2889,ranking text,increase,current button size,button or icon allow user to see current location,increase,current button size,unknown,remove,purpose and function,unknown,remove,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2890,ranking text,increase,current button size,ranking text,change,text color contrast,breakfast icon,increase,setting bar,current lack,leave alignment,space element,unknown,thorough redesign,ui,red color bar,change,text color contrast,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment
2891,button or icon allow user to see current location,enlarge,unknown,highlighted three dot,enlarge,unknown,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,current button size,increase,current button size,screen,consider,unknown,unknown,reintroduce,back and exit button,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment
2892,ranking text,increase,current button size,ranking text,give,space element,video label,remove,video label,positioning use design software to ensure alignment,align,purpose and function,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown
2893,ranking text,change,text color contrast,unknown,try,unknown,current button size,increase,current button size,unknown,thorough redesign,unknown,unknown,add,standard drop,ranking text,increase,current button size,more readable font,make,more readable font
2894,positioning use design software to ensure alignment,add,clear right edge,breakfast icon,adjust,separate background,location tab,increase,separate background,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2895,ranking text,increase,current button size,separate background,choose,positioning use design software to ensure alignment,unknown,move,button or icon allow user to see current location,spacing,make,spacing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2896,purpose and function,add,section border,current lack,reintegrate,clear and functional checkbox,clear and functional checkbox,reintegrate,clear layout and intuitive navigation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2897,breakfast icon,consider,unknown,positioning use design software to ensure alignment,add,breakfast icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2898,current button size,increase,large font size and more white space Bounding Box,positioning use design software to ensure alignment,reduce,dark color scheme Bounding Box,more readable font,uniform font style to be use consistently,large font size and more white space Bounding Box,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2899,ranking text,change,text color contrast,ranking text,increase,current button size,unknown,add,button or icon allow user to see current location,unknown,thorough redesign,unknown,unknown,uniform font style to be use consistently,current button size,unknown,add,button or icon allow user to see current location,ranking text,increase,ranking text
2900,button or icon allow user to see current location,add,button or icon allow user to see current location,unknown,establish,uniform font style to be use consistently,head color,consider,unknown,button or icon allow user to see current location,align,Set Clock button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2901,login and logo,increase,current button size,Set Clock button,adjust,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2902,unknown,reintegrate,back arrow icon,current ad section,consider,unknown,unknown,unknown,unknown,unknown,prioritize,purpose and function,unknown,remove,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown
2903,breakfast icon,adjust,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2904,color weight,increase,color weight,ranking text,increase,color weight,repeat number,button place,repeat number,positioning use design software to ensure alignment,add,placeholder image or alternative visual content,ranking text,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown
2905,unknown,unknown,unknown,unknown,try,unknown,unknown,thorough redesign,unknown,unknown,add,forgot passcode hyperlink,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2906,forgot passcode hyperlink,make,unknown,s small size and left-alignment,consider,unknown,unknown,add,universally recognize cancel or close feature,current lack,add,vibrant and eye-catch color,highlighted section,establish,grid or baseline,forgot passcode hyperlink,make,unknown,unknown,unknown,unknown
2907,unknown,relocate,forgot password button,clear close icon,try,unknown,unknown,increase,space element,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2908,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,unknown,offer,space element,text field,enlarge,text field,back arrow icon,consider,unknown,current button size,enlarge,unknown,text color contrast,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown
2909,advertisement,add,clear close icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2910,ranking text,increase,ranking text,color weight,increase,color weight,text color contrast,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2911,purpose and function,add,section border,breakfast icon,uniform font style to be use consistently,breakfast icon,positioning use design software to ensure alignment,prioritize,space element,current button size,increase,current button size,more readable font,uniform font style to be use consistently,large font size and more white space Bounding Box,positioning use design software to ensure alignment,uniform font style to be use consistently,purpose and function,unknown,unknown,unknown
2912,list,add,clear and prominent title,breakfast icon,add,breakfast icon,menu option layout,add,breakfast icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2913,set icon,consider,unknown,setting bar,move,setting bar,ranking text,make,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2914,ranking text,increase,current button size,ranking text,change,text color contrast,breakfast icon,increase,setting bar,unknown,thorough redesign,unknown,unknown,try,unknown,unknown,uniform font style to be use consistently,current button size,unknown,add,button or icon allow user to see current location
2915,unknown,try,unknown,ranking text,uniform font style to be use consistently,text color contrast,text color contrast,uniform font style to be use consistently,text color contrast,purpose and function,uniform font style to be use consistently,set icon,clear and functional checkbox,uniform font style to be use consistently,clear and functional checkbox,positioning use design software to ensure alignment,uniform font style to be use consistently,positioning use design software to ensure alignment,unknown,unknown,unknown
2916,breakfast icon,adjust,text color contrast,text color contrast,increase,separate background,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2917,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,thorough redesign,ui,text color contrast,change,text color contrast,unknown,add,button or icon allow user to see current location,unknown,add,button or icon allow user to see current location,positioning use design software to ensure alignment,thorough redesign,positioning use design software to ensure alignment
2918,unknown,remove,unknown,current button size,increase,current button size,text color contrast,uniform font style to be use consistently,text color contrast,clear and functional checkbox,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2919,item load but lack proper visual-blank image,try,unknown,clear and functional checkbox,move,highlighted section,clear and functional checkbox,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2920,ranking text,enlarge,current button size,ranking text,increase,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2921,unknown,unknown,unknown,button or icon allow user to see current location,ensure,unknown,ranking text,remove,ranking text,purpose and function,separation,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2922,unknown,improve,legibility,absence,reintegrate,miss checkbox icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2923,prominently position back button,give,similar graphic treatment,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,current lack,consider,unknown,unknown,remove,purpose and function,prominently position back button,uniform font style to be use consistently,"more common language , such",unknown,unknown,unknown,unknown,unknown,unknown
2924,play button icon,consider,unknown,essential content,uniform font style to be use consistently,"more common language , such",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2925,unknown,increase,current button size,play button icon,increase,current button size,ranking text,try,unknown,unknown,remove,purpose and function,essential content,uniform font style to be use consistently,"more common language , such",advertisement,try,de,unknown,unknown,unknown
2926,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,try,unknown,unknown,thorough redesign,ui,unknown,add,button or icon allow user to see current location,unknown,add,button or icon allow user to see current location,more readable font,uniform font style to be use consistently,current button size
2927,unknown,unknown,unknown,unknown,unknown,unknown,unknown,undergo,thorough review,pop,increase,current button size,more readable font,uniform font style to be use consistently,current button size,unknown,unknown,unknown,unknown,unknown,unknown
2928,main heading and sub heading,increase,current button size,breakfast icon,change,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2929,ranking text,enlarge,ranking text,purpose and function,reintegrate,grid or baseline,two label,add,clear layout and intuitive navigation,unknown,uniform font style to be use consistently,section border,unknown,create button,positioning use design software to ensure alignment,ranking text,make,ranking text,purpose and function,align,purpose and function
2930,current button size,increase,current button size,ranking text,make,ranking text,purpose and function,align,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2931,uniform font style to be use consistently,replace,separate background,BRO 15th text,uniform font style to be use consistently,text color contrast,purpose and function,align,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2932,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,current button size,increase,current button size,add,enlarge,button or icon allow user to see current location,right arrow key,enlarge,unknown,uniform font style to be use consistently,enlarge,item load but lack proper visual-blank image,separate background,choose,text color contrast,plus and minus button,enlarge,button or icon allow user to see current location
2933,ranking text,adjust,text color contrast,ranking text,adjust,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2934,uniform font style to be use consistently,change,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2935,current button size,increase,current button size,unknown,thorough redesign,unknown,unknown,add,setting bar,unknown,add,button or icon allow user to see current location,user-friendly menu system,make,user-friendly menu system,clear and functional checkbox,make,user-friendly menu system,unknown,unknown,unknown
2936,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,separate background,make,unknown,ranking text,make,unknown,ranking text,increase,ranking text,user-friendly menu system,make,user-friendly menu system,user-friendly menu system,make,user-friendly menu system,unknown,unknown,unknown
2937,color weight,increase,color weight,ranking text,increase,ranking text,ranking text,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2938,advertisement,add,"more common language , such",facebook app,increase,separate background,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2939,button or icon allow user to see current location,give,similar graphic treatment,heading/ name,align,ranking text,uniform font style to be use consistently,change,text color contrast,button or icon allow user to see current location,change,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2940,unknown,unknown,unknown,unknown,reintegrate,miss checkbox icon,ranking text,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2941,uniform font style to be use consistently,change,uniform font style to be use consistently,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2942,setting bar,increase,current button size,unknown,remove,one,filter,be,clear layout and intuitive navigation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2943,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,try,unknown,unknown,uniform font style to be use consistently,current button size,ranking text,increase,ranking text,highlighted section,give,similar graphic treatment,unknown,unknown,unknown
2944,unknown,ensure,text 's small size and low color contrast,current button size,increase,current button size,music button,align,music button,unknown,increase,separate background,ranking text,increase,ranking text,unknown,unknown,unknown,unknown,unknown,unknown
2945,text color contrast,make,unknown,separate background,choose,positioning use design software to ensure alignment,positioning use design software to ensure alignment,align,ranking text,ranking text,increase,ranking text,button or icon allow user to see current location,align,RESTORE PURCHASES button,unknown,unknown,unknown,unknown,unknown,unknown
2946,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,current button size,increase,current button size,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,current button size,increase,current button size,button or icon allow user to see current location,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2947,tab may cause confusion,reintegrate,placeholder image or alternative visual content,breakfast icon,adjust,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2948,ranking text,adjust,text color contrast,appropriate icon clearly represent function,resize,appropriate icon clearly represent function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
